For point = 140, K =-1394.3119547403326, D =-15.329483932630495, intercept: -0.13644984597133014
For point = 141, K =-1636.562232690428, D =-18.45251363753032, intercept: -0.007133583145612299
For point = 142, K =-1588.144670848649, D =-17.50432625388668, intercept: -0.03852192337503446
For point = 143, K =-1732.5550731890123, D =-21.359640856387184, intercept: 0.021038525054358992
For point = 144, K =-1687.2717217880195, D =-23.10522499378787, intercept: 0.023303473676822506
For point = 145, K =-1653.7372183847153, D =-18.463200684906, intercept: -0.026271276353043493
For point = 146, K =-1457.3023376247677, D =-16.079863502791618, intercept: -0.14321171557581236
For point = 147, K =-1472.86689792511, D =-16.379177615437555, intercept: -0.14991063864986343
For point = 148, K =-1562.3359492152338, D =-17.926779503066975, intercept: -0.16084521692630416
For point = 149, K =-1652.9393048927698, D =-22.887251801905812, intercept: -0.029019756694271592
For point = 150, K =-1695.3720676212831, D =-23.843811811664683, intercept: 0.006288244818981159
For point = 151, K =-1473.5084148692072, D =-16.192278561455616, intercept: -0.15075847347211013
For point = 152, K =-1531.6094261209164, D =-17.380477391884504, intercept: -0.1605980547339465
For point = 153, K =-1604.209519999363, D =-18.598120970967653, intercept: -0.16190406788377087
For point = 154, K =-1658.4863814911098, D =-22.650702174134175, intercept: 0.003098387767048294
For point = 155, K =-1532.8557322369345, D =-17.076506777452714, intercept: -0.15178569438024336
For point = 156, K =-1672.0801871871606, D =-19.74034551608202, intercept: -0.106924138409759
For point = 157, K =-1706.2638168199555, D =-25.175146389162315, intercept: -0.008870392698583363
For point = 158, K =-1670.5108919349902, D =-19.573608010289497, intercept: -0.1316272226634485
For point = 159, K =-1535.8372188114085, D =-17.27430899889486, intercept: -0.053283398614055955
For point = 160, K =-1705.5264060655265, D =-23.372223042879718, intercept: -0.018882813558835476
For point = 161, K =-1696.6282667147318, D =-23.822427485578874, intercept: -0.010525678810825667
For point = 162, K =-1642.4517301754229, D =-18.353907079221376, intercept: -0.1255768508786992
For point = 163, K =-1579.2135629455086, D =-21.642612472007222, intercept: -0.1426117027674172
For point = 164, K =-1548.7309492450343, D =-21.401058079826488, intercept: -0.15793719826760766
For point = 165, K =-1663.1781506019724, D =-18.643650555035283, intercept: -0.1389851962593358
For point = 166, K =-1697.4598629679842, D =-23.343269691432372, intercept: -0.02870367591241152
For point = 167, K =-1680.8861864185806, D =-23.1826487353881, intercept: -0.01982987538816161
For point = 168, K =-1653.549762151811, D =-19.76126730746872, intercept: -0.18119289344934542
For point = 169, K =-1673.0793897741296, D =-22.994263052082907, intercept: -0.03192555675923758
For point = 170, K =-1541.1930901015764, D =-21.349090962495993, intercept: -0.14921572439341801
For point = 171, K =-1665.8124561569957, D =-23.01479524957402, intercept: -0.04605597056182775
For point = 172, K =-1669.2835059656584, D =-23.000763875413455, intercept: -0.057781231001687416
For point = 173, K =-1611.9767169208449, D =-21.211854202734173, intercept: -0.18166554829052783
For point = 174, K =-1703.9476844498536, D =-19.264986326628666, intercept: -0.07512567473495357
For point = 175, K =-1572.0875531143233, D =-21.296556679443018, intercept: -0.15394785675485112
For point = 176, K =-1668.7904981678123, D =-23.02697444694204, intercept: -0.06284519494734564
For point = 177, K =-1620.8188951191662, D =-22.57823088824331, intercept: -0.13948207261521262
For point = 178, K =-1650.9682742449052, D =-22.635836972279304, intercept: -0.1286329917131761
For point = 179, K =-1658.7820312547121, D =-22.66978664078091, intercept: -0.09169962736137016
For point = 180, K =-1637.4501494836477, D =-20.221282994886835, intercept: -0.20116205173559454
For point = 181, K =-1522.795072265325, D =-20.77126857337834, intercept: -0.12629048006452193
For point = 182, K =-1604.8425030119563, D =-22.003238055010463, intercept: -0.16649814473317903
For point = 183, K =-1672.8790846706206, D =-18.84657461802702, intercept: -0.07302030327169051
For point = 184, K =-1702.8692523308562, D =-19.70373577182584, intercept: -0.07599845553642925
For point = 185, K =-1618.3389431918743, D =-18.35087305716696, intercept: -0.06770001166358552
For point = 186, K =-1700.2831946437548, D =-19.424807006406386, intercept: -0.07185273113993684
For point = 187, K =-1598.2110981388064, D =-22.326765169611715, intercept: -0.17365117188653878
For point = 188, K =-1602.2210157764698, D =-22.00032950560596, intercept: -0.1721821464697797
For point = 189, K =-1627.8130035750048, D =-18.451834810701058, intercept: -0.07262548564031901
For point = 190, K =-1574.989512649485, D =-17.89463254344168, intercept: -0.07896899707990235
For point = 191, K =-1683.6296021453143, D =-20.355419586621284, intercept: -0.0964872137674373
For point = 192, K =-1686.7652987847644, D =-19.638743191450157, intercept: -0.08973825911433497
For point = 193, K =-1572.2659139019938, D =-21.746680867800425, intercept: -0.19135831168716955
For point = 194, K =-1678.652529186106, D =-19.82484298803003, intercept: -0.0954492117572947
For point = 195, K =-1521.392496593196, D =-20.698819044610584, intercept: -0.12192532677884982
For point = 196, K =-1578.5615383774114, D =-17.99182156508635, intercept: -0.07405013930810522
For point = 197, K =-1521.9391977360117, D =-20.793178862617747, intercept: -0.166183480314249
For point = 198, K =-1552.082214817407, D =-21.207033962131003, intercept: -0.18544397053673345
For point = 199, K =-1652.6437971978364, D =-18.899505949056994, intercept: -0.07553627815652453
For point = 200, K =-1671.8054897038664, D =-19.354119655797405, intercept: -0.06839724080148857
